"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"New Haven County, CT"	"09009"	"Feb., 2010"	"2010/02"	58	Not Applicable	Not Applicable
	"New Haven County, CT"	"09009"	"Mar., 2010"	"2010/03"	72	Not Applicable	Not Applicable
	"New Haven County, CT"	"09009"	"Apr., 2010"	"2010/04"	45	Not Applicable	Not Applicable
	"New Haven County, CT"	"09009"	"May, 2010"	"2010/05"	51	Not Applicable	Not Applicable
	"New Haven County, CT"	"09009"	"Jun., 2010"	"2010/06"	55	Not Applicable	Not Applicable
	"New Haven County, CT"	"09009"	"Jul., 2010"	"2010/07"	48	Not Applicable	Not Applicable
	"New Haven County, CT"	"09009"	"Aug., 2010"	"2010/08"	42	Not Applicable	Not Applicable
	"New Haven County, CT"	"09009"	"Sep., 2010"	"2010/09"	42	Not Applicable	Not Applicable
	"New Haven County, CT"	"09009"	"Oct., 2010"	"2010/10"	65	Not Applicable	Not Applicable
	"New Haven County, CT"	"09009"	"Nov., 2010"	"2010/11"	57	Not Applicable	Not Applicable
	"New Haven County, CT"	"09009"	"Dec., 2010"	"2010/12"	59	Not Applicable	Not Applicable
	"New London County, CT"	"09011"	"Jan., 2010"	"2010/01"	17	Not Applicable	Not Applicable
	"New London County, CT"	"09011"	"Feb., 2010"	"2010/02"	13	Not Applicable	Not Applicable
	"New London County, CT"	"09011"	"Mar., 2010"	"2010/03"	25	Not Applicable	Not Applicable
	"New London County, CT"	"09011"	"Apr., 2010"	"2010/04"	19	Not Applicable	Not Applicable
	"New London County, CT"	"09011"	"May, 2010"	"2010/05"	16	Not Applicable	Not Applicable
	"New London County, CT"	"09011"	"Jun., 2010"	"2010/06"	13	Not Applicable	Not Applicable
	"New London County, CT"	"09011"	"Jul., 2010"	"2010/07"	14	Not Applicable	Not Applicable
	"New London County, CT"	"09011"	"Aug., 2010"	"2010/08"	16	Not Applicable	Not Applicable
	"New London County, CT"	"09011"	"Sep., 2010"	"2010/09"	19	Not Applicable	Not Applicable
	"New London County, CT"	"09011"	"Oct., 2010"	"2010/10"	18	Not Applicable	Not Applicable
	"New London County, CT"	"09011"	"Nov., 2010"	"2010/11"	16	Not Applicable	Not Applicable
	"New London County, CT"	"09011"	"Dec., 2010"	"2010/12"	27	Not Applicable	Not Applicable
	"Tolland County, CT"	"09013"	"Feb., 2010"	"2010/02"	11	Not Applicable	Not Applicable
	"Tolland County, CT"	"09013"	"Mar., 2010"	"2010/03"	10	Not Applicable	Not Applicable
	"Tolland County, CT"	"09013"	"Apr., 2010"	"2010/04"	10	Not Applicable	Not Applicable
	"Tolland County, CT"	"09013"	"Jul., 2010"	"2010/07"	13	Not Applicable	Not Applicable
	"Windham County, CT"	"09015"	"Mar., 2010"	"2010/03"	11	Not Applicable	Not Applicable
	"Windham County, CT"	"09015"	"Apr., 2010"	"2010/04"	10	Not Applicable	Not Applicable
	"Windham County, CT"	"09015"	"May, 2010"	"2010/05"	10	Not Applicable	Not Applicable
	"Windham County, CT"	"09015"	"Aug., 2010"	"2010/08"	10	Not Applicable	Not Applicable
	"Windham County, CT"	"09015"	"Dec., 2010"	"2010/12"	11	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"Jan., 2010"	"2010/01"	16	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"Feb., 2010"	"2010/02"	14	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"Mar., 2010"	"2010/03"	10	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"Apr., 2010"	"2010/04"	13	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"May, 2010"	"2010/05"	15	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"Jun., 2010"	"2010/06"	11	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"Oct., 2010"	"2010/10"	15	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"Dec., 2010"	"2010/12"	13	Not Applicable	Not Applicable
	"New Castle County, DE"	"10003"	"Jan., 2010"	"2010/01"	28	Not Applicable	Not Applicable
	"New Castle County, DE"	"10003"	"Feb., 2010"	"2010/02"	39	Not Applicable	Not Applicable
	"New Castle County, DE"	"10003"	"Mar., 2010"	"2010/03"	42	Not Applicable	Not Applicable
	"New Castle County, DE"	"10003"	"Apr., 2010"	"2010/04"	23	Not Applicable	Not Applicable
	"New Castle County, DE"	"10003"	"May, 2010"	"2010/05"	36	Not Applicable	Not Applicable
	"New Castle County, DE"	"10003"	"Jun., 2010"	"2010/06"	25	Not Applicable	Not Applicable
	"New Castle County, DE"	"10003"	"Jul., 2010"	"2010/07"	26	Not Applicable	Not Applicable
	"New Castle County, DE"	"10003"	"Aug., 2010"	"2010/08"	26	Not Applicable	Not Applicable
	"New Castle County, DE"	"10003"	"Sep., 2010"	"2010/09"	28	Not Applicable	Not Applicable
	"New Castle County, DE"	"10003"	"Oct., 2010"	"2010/10"	33	Not Applicable	Not Applicable
	"New Castle County, DE"	"10003"	"Nov., 2010"	"2010/11"	31	Not Applicable	Not Applicable
	"New Castle County, DE"	"10003"	"Dec., 2010"	"2010/12"	37	Not Applicable	Not Applicable
	"Sussex County, DE"	"10005"	"Jan., 2010"	"2010/01"	25	Not Applicable	Not Applicable
	"Sussex County, DE"	"10005"	"Feb., 2010"	"2010/02"	15	Not Applicable	Not Applicable
	"Sussex County, DE"	"10005"	"Mar., 2010"	"2010/03"	18	Not Applicable	Not Applicable
	"Sussex County, DE"	"10005"	"Apr., 2010"	"2010/04"	20	Not Applicable	Not Applicable
	"Sussex County, DE"	"10005"	"May, 2010"	"2010/05"	22	Not Applicable	Not Applicable
	"Sussex County, DE"	"10005"	"Jun., 2010"	"2010/06"	16	Not Applicable	Not Applicable
	"Sussex County, DE"	"10005"	"Jul., 2010"	"2010/07"	15	Not Applicable	Not Applicable
	"Sussex County, DE"	"10005"	"Aug., 2010"	"2010/08"	13	Not Applicable	Not Applicable
	"Sussex County, DE"	"10005"	"Sep., 2010"	"2010/09"	16	Not Applicable	Not Applicable
	"Sussex County, DE"	"10005"	"Oct., 2010"	"2010/10"	15	Not Applicable	Not Applicable
	"Sussex County, DE"	"10005"	"Nov., 2010"	"2010/11"	11	Not Applicable	Not Applicable
	"Sussex County, DE"	"10005"	"Dec., 2010"	"2010/12"	21	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Jan., 2010"	"2010/01"	21	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Feb., 2010"	"2010/02"	31	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Mar., 2010"	"2010/03"	24	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Apr., 2010"	"2010/04"	25	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"May, 2010"	"2010/05"	29	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Jun., 2010"	"2010/06"	25	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Jul., 2010"	"2010/07"	22	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Aug., 2010"	"2010/08"	23	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Sep., 2010"	"2010/09"	28	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Oct., 2010"	"2010/10"	22	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Nov., 2010"	"2010/11"	29	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Dec., 2010"	"2010/12"	23	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"Jan., 2010"	"2010/01"	12	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"Feb., 2010"	"2010/02"	11	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"Apr., 2010"	"2010/04"	16	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"May, 2010"	"2010/05"	17	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"Jun., 2010"	"2010/06"	14	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"Nov., 2010"	"2010/11"	12	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"Dec., 2010"	"2010/12"	13	Not Applicable	Not Applicable
	"Bay County, FL"	"12005"	"Jan., 2010"	"2010/01"	19	Not Applicable	Not Applicable
	"Bay County, FL"	"12005"	"Feb., 2010"	"2010/02"	14	Not Applicable	Not Applicable
	"Bay County, FL"	"12005"	"Mar., 2010"	"2010/03"	27	Not Applicable	Not Applicable
	"Bay County, FL"	"12005"	"Apr., 2010"	"2010/04"	14	Not Applicable	Not Applicable
	"Bay County, FL"	"12005"	"May, 2010"	"2010/05"	15	Not Applicable	Not Applicable
	"Bay County, FL"	"12005"	"Jun., 2010"	"2010/06"	11	Not Applicable	Not Applicable
	"Bay County, FL"	"12005"	"Jul., 2010"	"2010/07"	14	Not Applicable	Not Applicable
	"Bay County, FL"	"12005"	"Aug., 2010"	"2010/08"	11	Not Applicable	Not Applicable
	"Bay County, FL"	"12005"	"Sep., 2010"	"2010/09"	21	Not Applicable	Not Applicable
	"Bay County, FL"	"12005"	"Oct., 2010"	"2010/10"	16	Not Applicable	Not Applicable
	"Bay County, FL"	"12005"	"Nov., 2010"	"2010/11"	12	Not Applicable	Not Applicable
	"Bay County, FL"	"12005"	"Dec., 2010"	"2010/12"	18	Not Applicable	Not Applicable
	"Brevard County, FL"	"12009"	"Jan., 2010"	"2010/01"	61	Not Applicable	Not Applicable
	"Brevard County, FL"	"12009"	"Feb., 2010"	"2010/02"	47	Not Applicable	Not Applicable
	"Brevard County, FL"	"12009"	"Mar., 2010"	"2010/03"	67	Not Applicable	Not Applicable
	"Brevard County, FL"	"12009"	"Apr., 2010"	"2010/04"	36	Not Applicable	Not Applicable
	"Brevard County, FL"	"12009"	"May, 2010"	"2010/05"	47	Not Applicable	Not Applicable
	"Brevard County, FL"	"12009"	"Jun., 2010"	"2010/06"	46	Not Applicable	Not Applicable
	"Brevard County, FL"	"12009"	"Jul., 2010"	"2010/07"	37	Not Applicable	Not Applicable
	"Brevard County, FL"	"12009"	"Aug., 2010"	"2010/08"	36	Not Applicable	Not Applicable
	"Brevard County, FL"	"12009"	"Sep., 2010"	"2010/09"	41	Not Applicable	Not Applicable
	"Brevard County, FL"	"12009"	"Oct., 2010"	"2010/10"	43	Not Applicable	Not Applicable
	"Brevard County, FL"	"12009"	"Nov., 2010"	"2010/11"	51	Not Applicable	Not Applicable
	"Brevard County, FL"	"12009"	"Dec., 2010"	"2010/12"	61	Not Applicable	Not Applicable
	"Broward County, FL"	"12011"	"Jan., 2010"	"2010/01"	89	Not Applicable	Not Applicable
	"Broward County, FL"	"12011"	"Feb., 2010"	"2010/02"	105	Not Applicable	Not Applicable
	"Broward County, FL"	"12011"	"Mar., 2010"	"2010/03"	129	Not Applicable	Not Applicable
	"Broward County, FL"	"12011"	"Apr., 2010"	"2010/04"	93	Not Applicable	Not Applicable
	"Broward County, FL"	"12011"	"May, 2010"	"2010/05"	92	Not Applicable	Not Applicable
	"Broward County, FL"	"12011"	"Jun., 2010"	"2010/06"	102	Not Applicable	Not Applicable
	"Broward County, FL"	"12011"	"Jul., 2010"	"2010/07"	85	Not Applicable	Not Applicable
	"Broward County, FL"	"12011"	"Aug., 2010"	"2010/08"	96	Not Applicable	Not Applicable
	"Broward County, FL"	"12011"	"Sep., 2010"	"2010/09"	74	Not Applicable	Not Applicable
	"Broward County, FL"	"12011"	"Oct., 2010"	"2010/10"	86	Not Applicable	Not Applicable
	"Broward County, FL"	"12011"	"Nov., 2010"	"2010/11"	102	Not Applicable	Not Applicable
	"Broward County, FL"	"12011"	"Dec., 2010"	"2010/12"	99	Not Applicable	Not Applicable
	"Charlotte County, FL"	"12015"	"Jan., 2010"	"2010/01"	22	Not Applicable	Not Applicable
	"Charlotte County, FL"	"12015"	"Feb., 2010"	"2010/02"	17	Not Applicable	Not Applicable
	"Charlotte County, FL"	"12015"	"Mar., 2010"	"2010/03"	25	Not Applicable	Not Applicable
	"Charlotte County, FL"	"12015"	"Apr., 2010"	"2010/04"	23	Not Applicable	Not Applicable
	"Charlotte County, FL"	"12015"	"May, 2010"	"2010/05"	25	Not Applicable	Not Applicable
	"Charlotte County, FL"	"12015"	"Jun., 2010"	"2010/06"	17	Not Applicable	Not Applicable
	"Charlotte County, FL"	"12015"	"Jul., 2010"	"2010/07"	20	Not Applicable	Not Applicable
	"Charlotte County, FL"	"12015"	"Aug., 2010"	"2010/08"	14	Not Applicable	Not Applicable
	"Charlotte County, FL"	"12015"	"Sep., 2010"	"2010/09"	10	Not Applicable	Not Applicable
	"Charlotte County, FL"	"12015"	"Oct., 2010"	"2010/10"	12	Not Applicable	Not Applicable
	"Charlotte County, FL"	"12015"	"Nov., 2010"	"2010/11"	13	Not Applicable	Not Applicable
	"Charlotte County, FL"	"12015"	"Dec., 2010"	"2010/12"	15	Not Applicable	Not Applicable
	"Citrus County, FL"	"12017"	"Jan., 2010"	"2010/01"	23	Not Applicable	Not Applicable
	"Citrus County, FL"	"12017"	"Feb., 2010"	"2010/02"	22	Not Applicable	Not Applicable
	"Citrus County, FL"	"12017"	"Mar., 2010"	"2010/03"	17	Not Applicable	Not Applicable
	"Citrus County, FL"	"12017"	"Apr., 2010"	"2010/04"	21	Not Applicable	Not Applicable
	"Citrus County, FL"	"12017"	"May, 2010"	"2010/05"	15	Not Applicable	Not Applicable
	"Citrus County, FL"	"12017"	"Jun., 2010"	"2010/06"	20	Not Applicable	Not Applicable
	"Citrus County, FL"	"12017"	"Jul., 2010"	"2010/07"	16	Not Applicable	Not Applicable
	"Citrus County, FL"	"12017"	"Aug., 2010"	"2010/08"	20	Not Applicable	Not Applicable
	"Citrus County, FL"	"12017"	"Sep., 2010"	"2010/09"	13	Not Applicable	Not Applicable
	"Citrus County, FL"	"12017"	"Oct., 2010"	"2010/10"	16	Not Applicable	Not Applicable
	"Citrus County, FL"	"12017"	"Nov., 2010"	"2010/11"	17	Not Applicable	Not Applicable
	"Citrus County, FL"	"12017"	"Dec., 2010"	"2010/12"	21	Not Applicable	Not Applicable
	"Clay County, FL"	"12019"	"Jan., 2010"	"2010/01"	13	Not Applicable	Not Applicable
	"Clay County, FL"	"12019"	"Feb., 2010"	"2010/02"	12	Not Applicable	Not Applicable
	"Clay County, FL"	"12019"	"Mar., 2010"	"2010/03"	15	Not Applicable	Not Applicable
	"Clay County, FL"	"12019"	"Apr., 2010"	"2010/04"	13	Not Applicable	Not Applicable
	"Clay County, FL"	"12019"	"Jun., 2010"	"2010/06"	14	Not Applicable	Not Applicable
	"Clay County, FL"	"12019"	"Jul., 2010"	"2010/07"	14	Not Applicable	Not Applicable
	"Clay County, FL"	"12019"	"Aug., 2010"	"2010/08"	10	Not Applicable	Not Applicable
	"Clay County, FL"	"12019"	"Sep., 2010"	"2010/09"	10	Not Applicable	Not Applicable
	"Clay County, FL"	"12019"	"Oct., 2010"	"2010/10"	11	Not Applicable	Not Applicable
	"Clay County, FL"	"12019"	"Nov., 2010"	"2010/11"	17	Not Applicable	Not Applicable
	"Clay County, FL"	"12019"	"Dec., 2010"	"2010/12"	12	Not Applicable	Not Applicable
	"Collier County, FL"	"12021"	"Jan., 2010"	"2010/01"	20	Not Applicable	Not Applicable
	"Collier County, FL"	"12021"	"Feb., 2010"	"2010/02"	23	Not Applicable	Not Applicable
	"Collier County, FL"	"12021"	"Mar., 2010"	"2010/03"	30	Not Applicable	Not Applicable
	"Collier County, FL"	"12021"	"Apr., 2010"	"2010/04"	28	Not Applicable	Not Applicable
	"Collier County, FL"	"12021"	"May, 2010"	"2010/05"	23	Not Applicable	Not Applicable
	"Collier County, FL"	"12021"	"Jun., 2010"	"2010/06"	25	Not Applicable	Not Applicable
	"Collier County, FL"	"12021"	"Jul., 2010"	"2010/07"	19	Not Applicable	Not Applicable
	"Collier County, FL"	"12021"	"Aug., 2010"	"2010/08"	21	Not Applicable	Not Applicable
	"Collier County, FL"	"12021"	"Sep., 2010"	"2010/09"	11	Not Applicable	Not Applicable
	"Collier County, FL"	"12021"	"Oct., 2010"	"2010/10"	28	Not Applicable	Not Applicable
	"Collier County, FL"	"12021"	"Nov., 2010"	"2010/11"	19	Not Applicable	Not Applicable
	"Collier County, FL"	"12021"	"Dec., 2010"	"2010/12"	23	Not Applicable	Not Applicable
	"Columbia County, FL"	"12023"	"Feb., 2010"	"2010/02"	10	Not Applicable	Not Applicable
	"Columbia County, FL"	"12023"	"Nov., 2010"	"2010/11"	13	Not Applicable	Not Applicable
	"Duval County, FL"	"12031"	"Jan., 2010"	"2010/01"	72	Not Applicable	Not Applicable
	"Duval County, FL"	"12031"	"Feb., 2010"	"2010/02"	65	Not Applicable	Not Applicable
	"Duval County, FL"	"12031"	"Mar., 2010"	"2010/03"	67	Not Applicable	Not Applicable
	"Duval County, FL"	"12031"	"Apr., 2010"	"2010/04"	55	Not Applicable	Not Applicable
	"Duval County, FL"	"12031"	"May, 2010"	"2010/05"	64	Not Applicable	Not Applicable
	"Duval County, FL"	"12031"	"Jun., 2010"	"2010/06"	52	Not Applicable	Not Applicable
	"Duval County, FL"	"12031"	"Jul., 2010"	"2010/07"	56	Not Applicable	Not Applicable
	"Duval County, FL"	"12031"	"Aug., 2010"	"2010/08"	62	Not Applicable	Not Applicable
	"Duval County, FL"	"12031"	"Sep., 2010"	"2010/09"	41	Not Applicable	Not Applicable
	"Duval County, FL"	"12031"	"Oct., 2010"	"2010/10"	51	Not Applicable	Not Applicable
	"Duval County, FL"	"12031"	"Nov., 2010"	"2010/11"	52	Not Applicable	Not Applicable
	"Duval County, FL"	"12031"	"Dec., 2010"	"2010/12"	76	Not Applicable	Not Applicable
	"Escambia County, FL"	"12033"	"Jan., 2010"	"2010/01"	29	Not Applicable	Not Applicable
	"Escambia County, FL"	"12033"	"Feb., 2010"	"2010/02"	36	Not Applicable	Not Applicable
	"Escambia County, FL"	"12033"	"Mar., 2010"	"2010/03"	25	Not Applicable	Not Applicable
	"Escambia County, FL"	"12033"	"Apr., 2010"	"2010/04"	17	Not Applicable	Not Applicable
	"Escambia County, FL"	"12033"	"May, 2010"	"2010/05"	39	Not Applicable	Not Applicable
	"Escambia County, FL"	"12033"	"Jun., 2010"	"2010/06"	17	Not Applicable	Not Applicable
	"Escambia County, FL"	"12033"	"Jul., 2010"	"2010/07"	19	Not Applicable	Not Applicable
	"Escambia County, FL"	"12033"	"Aug., 2010"	"2010/08"	22	Not Applicable	Not Applicable
	"Escambia County, FL"	"12033"	"Sep., 2010"	"2010/09"	18	Not Applicable	Not Applicable
	"Escambia County, FL"	"12033"	"Oct., 2010"	"2010/10"	30	Not Applicable	Not Applicable
	"Escambia County, FL"	"12033"	"Nov., 2010"	"2010/11"	30	Not Applicable	Not Applicable
	"Escambia County, FL"	"12033"	"Dec., 2010"	"2010/12"	28	Not Applicable	Not Applicable
	"Flagler County, FL"	"12035"	"Feb., 2010"	"2010/02"	12	Not Applicable	Not Applicable
	"Flagler County, FL"	"12035"	"May, 2010"	"2010/05"	10	Not Applicable	Not Applicable
	"Flagler County, FL"	"12035"	"Jun., 2010"	"2010/06"	18	Not Applicable	Not Applicable
	"Hernando County, FL"	"12053"	"Jan., 2010"	"2010/01"	26	Not Applicable	Not Applicable
	"Hernando County, FL"	"12053"	"Feb., 2010"	"2010/02"	16	Not Applicable	Not Applicable
	"Hernando County, FL"	"12053"	"Mar., 2010"	"2010/03"	18	Not Applicable	Not Applicable
	"Hernando County, FL"	"12053"	"Apr., 2010"	"2010/04"	12	Not Applicable	Not Applicable
	"Hernando County, FL"	"12053"	"May, 2010"	"2010/05"	20	Not Applicable	Not Applicable
	"Hernando County, FL"	"12053"	"Jun., 2010"	"2010/06"	16	Not Applicable	Not Applicable
	"Hernando County, FL"	"12053"	"Jul., 2010"	"2010/07"	16	Not Applicable	Not Applicable
	"Hernando County, FL"	"12053"	"Aug., 2010"	"2010/08"	17	Not Applicable	Not Applicable
	"Hernando County, FL"	"12053"	"Sep., 2010"	"2010/09"	12	Not Applicable	Not Applicable
	"Hernando County, FL"	"12053"	"Oct., 2010"	"2010/10"	17	Not Applicable	Not Applicable
	"Hernando County, FL"	"12053"	"Nov., 2010"	"2010/11"	15	Not Applicable	Not Applicable
	"Hernando County, FL"	"12053"	"Dec., 2010"	"2010/12"	19	Not Applicable	Not Applicable
	"Highlands County, FL"	"12055"	"Jan., 2010"	"2010/01"	17	Not Applicable	Not Applicable
	"Highlands County, FL"	"12055"	"Feb., 2010"	"2010/02"	18	Not Applicable	Not Applicable
	"Highlands County, FL"	"12055"	"Mar., 2010"	"2010/03"	21	Not Applicable	Not Applicable
	"Highlands County, FL"	"12055"	"Apr., 2010"	"2010/04"	16	Not Applicable	Not Applicable
	"Highlands County, FL"	"12055"	"May, 2010"	"2010/05"	19	Not Applicable	Not Applicable
	"Highlands County, FL"	"12055"	"Jun., 2010"	"2010/06"	16	Not Applicable	Not Applicable
	"Highlands County, FL"	"12055"	"Jul., 2010"	"2010/07"	12	Not Applicable	Not Applicable
	"Highlands County, FL"	"12055"	"Aug., 2010"	"2010/08"	12	Not Applicable	Not Applicable
	"Highlands County, FL"	"12055"	"Sep., 2010"	"2010/09"	10	Not Applicable	Not Applicable
	"Highlands County, FL"	"12055"	"Oct., 2010"	"2010/10"	10	Not Applicable	Not Applicable
	"Highlands County, FL"	"12055"	"Nov., 2010"	"2010/11"	17	Not Applicable	Not Applicable
	"Highlands County, FL"	"12055"	"Dec., 2010"	"2010/12"	19	Not Applicable	Not Applicable
	"Hillsborough County, FL"	"12057"	"Jan., 2010"	"2010/01"	79	Not Applicable	Not Applicable
	"Hillsborough County, FL"	"12057"	"Feb., 2010"	"2010/02"	70	Not Applicable	Not Applicable
	"Hillsborough County, FL"	"12057"	"Mar., 2010"	"2010/03"	85	Not Applicable	Not Applicable
	"Hillsborough County, FL"	"12057"	"Apr., 2010"	"2010/04"	68	Not Applicable	Not Applicable
	"Hillsborough County, FL"	"12057"	"May, 2010"	"2010/05"	55	Not Applicable	Not Applicable
	"Hillsborough County, FL"	"12057"	"Jun., 2010"	"2010/06"	49	Not Applicable	Not Applicable
	"Hillsborough County, FL"	"12057"	"Jul., 2010"	"2010/07"	73	Not Applicable	Not Applicable
	"Hillsborough County, FL"	"12057"	"Aug., 2010"	"2010/08"	60	Not Applicable	Not Applicable
	"Hillsborough County, FL"	"12057"	"Sep., 2010"	"2010/09"	50	Not Applicable	Not Applicable
	"Hillsborough County, FL"	"12057"	"Oct., 2010"	"2010/10"	61	Not Applicable	Not Applicable
	"Hillsborough County, FL"	"12057"	"Nov., 2010"	"2010/11"	61	Not Applicable	Not Applicable
	"Hillsborough County, FL"	"12057"	"Dec., 2010"	"2010/12"	67	Not Applicable	Not Applicable
	"Indian River County, FL"	"12061"	"Jan., 2010"	"2010/01"	14	Not Applicable	Not Applicable
	"Indian River County, FL"	"12061"	"Feb., 2010"	"2010/02"	14	Not Applicable	Not Applicable
	"Indian River County, FL"	"12061"	"Mar., 2010"	"2010/03"	22	Not Applicable	Not Applicable
	"Indian River County, FL"	"12061"	"Apr., 2010"	"2010/04"	15	Not Applicable	Not Applicable
	"Indian River County, FL"	"12061"	"May, 2010"	"2010/05"	10	Not Applicable	Not Applicable
	"Indian River County, FL"	"12061"	"Jul., 2010"	"2010/07"	16	Not Applicable	Not Applicable
	"Indian River County, FL"	"12061"	"Oct., 2010"	"2010/10"	10	Not Applicable	Not Applicable
	"Indian River County, FL"	"12061"	"Nov., 2010"	"2010/11"	12	Not Applicable	Not Applicable
	"Indian River County, FL"	"12061"	"Dec., 2010"	"2010/12"	14	Not Applicable	Not Applicable
	"Lake County, FL"	"12069"	"Jan., 2010"	"2010/01"	30	Not Applicable	Not Applicable
	"Lake County, FL"	"12069"	"Feb., 2010"	"2010/02"	18	Not Applicable	Not Applicable
	"Lake County, FL"	"12069"	"Mar., 2010"	"2010/03"	26	Not Applicable	Not Applicable
	"Lake County, FL"	"12069"	"Apr., 2010"	"2010/04"	28	Not Applicable	Not Applicable
	"Lake County, FL"	"12069"	"May, 2010"	"2010/05"	20	Not Applicable	Not Applicable
	"Lake County, FL"	"12069"	"Jun., 2010"	"2010/06"	27	Not Applicable	Not Applicable
	"Lake County, FL"	"12069"	"Jul., 2010"	"2010/07"	20	Not Applicable	Not Applicable
	"Lake County, FL"	"12069"	"Aug., 2010"	"2010/08"	26	Not Applicable	Not Applicable
	"Lake County, FL"	"12069"	"Sep., 2010"	"2010/09"	21	Not Applicable	Not Applicable
	"Lake County, FL"	"12069"	"Oct., 2010"	"2010/10"	15	Not Applicable	Not Applicable
	"Lake County, FL"	"12069"	"Nov., 2010"	"2010/11"	18	Not Applicable	Not Applicable
	"Lake County, FL"	"12069"	"Dec., 2010"	"2010/12"	25	Not Applicable	Not Applicable
	"Lee County, FL"	"12071"	"Jan., 2010"	"2010/01"	61	Not Applicable	Not Applicable
	"Lee County, FL"	"12071"	"Feb., 2010"	"2010/02"	33	Not Applicable	Not Applicable
	"Lee County, FL"	"12071"	"Mar., 2010"	"2010/03"	70	Not Applicable	Not Applicable
	"Lee County, FL"	"12071"	"Apr., 2010"	"2010/04"	51	Not Applicable	Not Applicable
	"Lee County, FL"	"12071"	"May, 2010"	"2010/05"	39	Not Applicable	Not Applicable
	"Lee County, FL"	"12071"	"Jun., 2010"	"2010/06"	44	Not Applicable	Not Applicable
	"Lee County, FL"	"12071"	"Jul., 2010"	"2010/07"	50	Not Applicable	Not Applicable
	"Lee County, FL"	"12071"	"Aug., 2010"	"2010/08"	41	Not Applicable	Not Applicable
	"Lee County, FL"	"12071"	"Sep., 2010"	"2010/09"	46	Not Applicable	Not Applicable
	"Lee County, FL"	"12071"	"Oct., 2010"	"2010/10"	47	Not Applicable	Not Applicable
	"Lee County, FL"	"12071"	"Nov., 2010"	"2010/11"	30	Not Applicable	Not Applicable
	"Lee County, FL"	"12071"	"Dec., 2010"	"2010/12"	53	Not Applicable	Not Applicable
	"Leon County, FL"	"12073"	"Jan., 2010"	"2010/01"	18	Not Applicable	Not Applicable
	"Leon County, FL"	"12073"	"Feb., 2010"	"2010/02"	20	Not Applicable	Not Applicable
	"Leon County, FL"	"12073"	"Mar., 2010"	"2010/03"	15	Not Applicable	Not Applicable
	"Leon County, FL"	"12073"	"Apr., 2010"	"2010/04"	10	Not Applicable	Not Applicable
	"Leon County, FL"	"12073"	"May, 2010"	"2010/05"	13	Not Applicable	Not Applicable
	"Leon County, FL"	"12073"	"Jun., 2010"	"2010/06"	10	Not Applicable	Not Applicable
	"Leon County, FL"	"12073"	"Jul., 2010"	"2010/07"	10	Not Applicable	Not Applicable
	"Leon County, FL"	"12073"	"Aug., 2010"	"2010/08"	20	Not Applicable	Not Applicable
	"Leon County, FL"	"12073"	"Sep., 2010"	"2010/09"	11	Not Applicable	Not Applicable
	"Leon County, FL"	"12073"	"Oct., 2010"	"2010/10"	13	Not Applicable	Not Applicable
	"Leon County, FL"	"12073"	"Nov., 2010"	"2010/11"	12	Not Applicable	Not Applicable
	"Leon County, FL"	"12073"	"Dec., 2010"	"2010/12"	11	Not Applicable	Not Applicable
	"Manatee County, FL"	"12081"	"Jan., 2010"	"2010/01"	30	Not Applicable	Not Applicable
	"Manatee County, FL"	"12081"	"Feb., 2010"	"2010/02"	30	Not Applicable	Not Applicable
	"Manatee County, FL"	"12081"	"Mar., 2010"	"2010/03"	25	Not Applicable	Not Applicable
	"Manatee County, FL"	"12081"	"Apr., 2010"	"2010/04"	29	Not Applicable	Not Applicable
	"Manatee County, FL"	"12081"	"May, 2010"	"2010/05"	34	Not Applicable	Not Applicable
