"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Yavapai County, AZ"	"04025"	"Mar., 2000"	"2000/03"	23	Not Applicable	Not Applicable	0.0%
	"Yavapai County, AZ"	"04025"	"Apr., 2000"	"2000/04"	16	Not Applicable	Not Applicable	0.0%
	"Yavapai County, AZ"	"04025"	"Jun., 2000"	"2000/06"	16	Not Applicable	Not Applicable	0.0%
	"Yavapai County, AZ"	"04025"	"Jul., 2000"	"2000/07"	12	Not Applicable	Not Applicable	0.0%
	"Yavapai County, AZ"	"04025"	"Oct., 2000"	"2000/10"	15	Not Applicable	Not Applicable	0.0%
	"Yavapai County, AZ"	"04025"	"Nov., 2000"	"2000/11"	20	Not Applicable	Not Applicable	0.0%
	"Yavapai County, AZ"	"04025"	"Dec., 2000"	"2000/12"	26	Not Applicable	Not Applicable	0.0%
	"Yuma County, AZ"	"04027"	"Jan., 2000"	"2000/01"	18	Not Applicable	Not Applicable	0.0%
	"Yuma County, AZ"	"04027"	"Feb., 2000"	"2000/02"	12	Not Applicable	Not Applicable	0.0%
	"Yuma County, AZ"	"04027"	"Apr., 2000"	"2000/04"	12	Not Applicable	Not Applicable	0.0%
	"Yuma County, AZ"	"04027"	"Nov., 2000"	"2000/11"	10	Not Applicable	Not Applicable	0.0%
	"Arkansas County, AR"	"05001"	"Jan., 2000"	"2000/01"	12	Not Applicable	Not Applicable	0.0%
	"Baxter County, AR"	"05005"	"Jan., 2000"	"2000/01"	11	Not Applicable	Not Applicable	0.0%
	"Baxter County, AR"	"05005"	"Sep., 2000"	"2000/09"	11	Not Applicable	Not Applicable	0.0%
	"Benton County, AR"	"05007"	"Jan., 2000"	"2000/01"	10	Not Applicable	Not Applicable	0.0%
	"Benton County, AR"	"05007"	"Feb., 2000"	"2000/02"	11	Not Applicable	Not Applicable	0.0%
	"Benton County, AR"	"05007"	"Nov., 2000"	"2000/11"	10	Not Applicable	Not Applicable	0.0%
	"Benton County, AR"	"05007"	"Dec., 2000"	"2000/12"	13	Not Applicable	Not Applicable	0.0%
	"Craighead County, AR"	"05031"	"Jan., 2000"	"2000/01"	17	Not Applicable	Not Applicable	0.0%
	"Craighead County, AR"	"05031"	"Feb., 2000"	"2000/02"	12	Not Applicable	Not Applicable	0.0%
	"Craighead County, AR"	"05031"	"Dec., 2000"	"2000/12"	13	Not Applicable	Not Applicable	0.0%
	"Garland County, AR"	"05051"	"Jan., 2000"	"2000/01"	29	Not Applicable	Not Applicable	0.0%
	"Garland County, AR"	"05051"	"Feb., 2000"	"2000/02"	17	Not Applicable	Not Applicable	0.0%
	"Garland County, AR"	"05051"	"Mar., 2000"	"2000/03"	13	Not Applicable	Not Applicable	0.0%
	"Garland County, AR"	"05051"	"Apr., 2000"	"2000/04"	13	Not Applicable	Not Applicable	0.0%
	"Garland County, AR"	"05051"	"May, 2000"	"2000/05"	14	Not Applicable	Not Applicable	0.0%
	"Garland County, AR"	"05051"	"Jul., 2000"	"2000/07"	11	Not Applicable	Not Applicable	0.0%
	"Garland County, AR"	"05051"	"Aug., 2000"	"2000/08"	10	Not Applicable	Not Applicable	0.0%
	"Garland County, AR"	"05051"	"Sep., 2000"	"2000/09"	15	Not Applicable	Not Applicable	0.0%
	"Garland County, AR"	"05051"	"Oct., 2000"	"2000/10"	12	Not Applicable	Not Applicable	0.0%
	"Garland County, AR"	"05051"	"Nov., 2000"	"2000/11"	11	Not Applicable	Not Applicable	0.0%
	"Garland County, AR"	"05051"	"Dec., 2000"	"2000/12"	13	Not Applicable	Not Applicable	0.0%
	"Jefferson County, AR"	"05069"	"Jan., 2000"	"2000/01"	23	Not Applicable	Not Applicable	0.0%
	"Lonoke County, AR"	"05085"	"Jan., 2000"	"2000/01"	10	Not Applicable	Not Applicable	0.0%
	"Mississippi County, AR"	"05093"	"Jan., 2000"	"2000/01"	11	Not Applicable	Not Applicable	0.0%
	"Mississippi County, AR"	"05093"	"May, 2000"	"2000/05"	12	Not Applicable	Not Applicable	0.0%
